time,temp
1542306342737,593
1542306343123,593
1542306344126,593
1542306345125,594
1542306346129,594
1542306347126,594
1542306348131,592
1542306349138,594
1542306350134,594
1542306351131,594
1542306352135,594
1542306353139,594
1542306354136,594
1542306355141,594
1542306356139,594
1542306357143,593
1542306358150,594
1542306359145,594
1542306360142,593
1542306361147,594
1542306362151,594
1542306363149,594
1542306364152,594
1542306365150,594
1542306366155,587
1542306367153,594
1542306368157,594
1542306369157,594
1542306370159,593
1542306371162,593
1542306372161,593
1542306373164,593
1542306374162,593
1542306375167,587
1542306376163,594
1542306377169,594
1542306378173,594
1542306379171,595
1542306380174,595
1542306381173,596
1542306382176,596
1542306383174,597
1542306384179,598
1542306385186,598
1542306386180,599
1542306387178,599
1542306388182,600
1542306389187,601
1542306390183,602
1542306391189,603
1542306392185,604
1542306393191,604
1542306394198,605
1542306395192,606
1542306396196,607
1542306397194,608
1542306398198,609
1542306399196,610
1542306400200,611
1542306401197,611
1542306402202,612
1542306403209,613
1542306404204,614
1542306405207,615
1542306406205,616
1542306407210,617
1542306408207,618
1542306409211,619
1542306410208,620
1542306411213,621
1542306412210,621
1542306413215,622
1542306414218,623
1542306415217,623
1542306416220,624
1542306417219,625
1542306418222,626
1542306419223,627
1542306420224,628
1542306421229,629
1542306422226,629
1542306423231,630
1542306424227,630
1542306425233,631
1542306426230,631
1542306427234,632
1542306428242,633
1542306429236,634
1542306430241,635
1542306431237,635
1542306432243,635
1542306433240,636
1542306434244,637
1542306435242,637
1542306436245,638
1542306437245,639
1542306438247,640
1542306439252,640
1542306440250,641
1542306441254,641
1542306442252,642
1542306443255,642
1542306444255,643
1542306445257,643
1542306446264,644
1542306447260,645
1542306448263,645
1542306449262,646
1542306450266,646
1542306451263,646
1542306452267,647
1542306453266,647
1542306454270,648
1542306455269,649
1542306456270,649
1542306457278,650
1542306458272,650
1542306459278,651
1542306460276,651
1542306461280,651
1542306462287,652
1542306463281,652
1542306464279,653
1542306465282,653
1542306466288,654
1542306467284,654
1542306468289,655
1542306469287,655
1542306470291,655
1542306471292,655
1542306472293,656
1542306473290,656
1542306474294,657
1542306475300,658
1542306476297,658
1542306477302,658
1542306478299,659
1542306479303,659
1542306480301,659
1542306481304,660
1542306482309,660
1542306483305,660
1542306484312,661
1542306485309,661
1542306486313,661
1542306487310,662
1542306488314,662
1542306489314,662
1542306490316,662
1542306491321,663
1542306492317,663
1542306493322,663
1542306494320,664
1542306495323,664
1542306496331,665
1542306497325,665
1542306498333,665
1542306499327,666
1542306500332,666
1542306501329,666
1542306502334,667
1542306503332,667
1542306504335,667
1542306505343,667
1542306506337,668
1542306507342,668
1542306508341,668
1542306509343,669
1542306510342,669
1542306511345,669
1542306512345,669
1542306513349,669
1542306514349,669
1542306515350,670
1542306516353,671
1542306517352,671
1542306518356,671
1542306519353,671
1542306520358,672
1542306521354,672
1542306522360,672
1542306523357,672
1542306524361,672
1542306525366,672
1542306526363,673
1542306527368,673
1542306528364,673
1542306529371,674
1542306530368,674
1542306531372,674
1542306532369,674
1542306533373,674
1542306534376,674
1542306535375,675
1542306536378,675
1542306537377,676
1542306538380,676
