time,temp
1542730771398,647
1542730771717,647
1542730772720,646
1542730773718,646
1542730774722,646
1542730775719,646
1542730776724,646
1542730777722,646
1542730778726,647
1542730779724,646
1542730780726,646
1542730781727,646
1542730782727,646
1542730783727,646
1542730784731,647
1542730785733,646
1542730786732,646
1542730787736,646
1542730788733,646
1542730789738,647
1542730790735,646
1542730791739,646
1542730792737,646
1542730793741,646
1542730794739,646
1542730795743,646
1542730796740,646
1542730797744,646
1542730798742,646
1542730799746,646
1542730800745,646
1542730801747,646
1542730802748,646
1542730803748,646
1542730804747,646
1542730805750,646
1542730806755,646
1542730807751,646
1542730808757,646
1542730809752,646
1542730810758,646
1542730811754,646
1542734464079,1023
1542734465585,1023
1542734466584,1023
1542734467582,1023
1542734468586,1023
1542734469590,1023
1542734470592,1023
1542734471592,574
1542734472591,545
1542734473600,535
1542734542284,675
1542734543224,674
1542734544222,673
1542734545233,672
1542734546224,672
1542734547223,672
1542734548227,671
1542734549234,670
1542734550228,669
1542734551226,669
1542734552228,668
1542734553226,668
1542734554234,667
1542734555231,666
1542734556232,666
1542734557231,665
1542734558237,665
1542734559232,665
1542734560236,664
1542734561244,664
1542734562240,663
1542734563238,663
1542734564241,663
1542734565237,662
1542734566241,661
1542734567239,661
1542734568245,661
1542734569243,660
1542734570244,660
1542734571241,659
1542734572249,659
1542734573245,659
1542734574247,659
1542734575245,658
1542734576249,657
1542734577247,657
1542734578249,657
1542734579248,656
1542734580252,657
1542734581250,656
1542734582254,656
1542734583252,655
1542734584256,655
1542734585254,655
1542734586258,655
1542734587255,654
1542734588259,654
1542734589260,654
1542734590261,654
1542734591260,653
1542734592262,653
1542734593261,653
1542734594266,652
1542734595261,652
1542734596266,652
1542734597268,652
1542734598268,651
1542734599266,651
1542734600274,651
1542734601278,651
1542734602272,651
1542734603270,650
1542734604279,650
1542734605272,650
1542734606291,650
1542734607274,649
1542734608282,649
1542734609274,649
1542734610282,648
1542734611277,649
1542734612281,648
1542734613279,648
1542734614282,648
1542734615282,647
1542734616286,647
1542734617282,647
1542734618287,647
1542734619284,647
1542734620289,646
1542734621288,646
1542734622290,646
1542734623291,646
1542734624291,646
1542734625290,646
1542734626294,645
1542734627293,645
1542734628295,645
1542734629294,645
1542734630298,645
1542734631296,644
1542734632299,644
1542734633298,644
1542734634302,644
1542734635300,644
1542734636305,644
1542734637301,644
1542734638306,643
1542734639304,643
1542734640308,643
1542734641304,643
1542734642314,643
1542734643320,643
1542734644310,642
1542734645310,642
1542734646313,643
1542734647311,642
1542734648318,642
1542734649315,642
1542734650320,642
1542734651319,642
1542734652317,642
1542734653320,641
1542734654321,641
1542734655320,641
1542734656326,641
1542734657324,641
1542734658325,641
1542734659334,641
1542734660327,640
1542734661332,641
1542734662328,641
1542734663326,640
1542734664330,640
1542734665327,640
1542734666332,640
1542734667330,640
1542734668335,640
1542734669334,640
1542734670335,640
1542734671335,639
1542734672338,640
1542734673343,640
1542734674340,639
1542734675346,639
1542734676342,639
1542734677348,639
1542734678352,639
1542734679350,639
1542734680346,639
1542734681349,639
1542734682348,638
1542734683355,638
1542734684350,639
1542734685354,639
1542734686355,638
1542734687358,638
1542734688353,638
1542734689359,603
1542734690356,638
1542734691360,638
1542734692358,638
1542734693364,637
1542734694360,637
1542734695363,638
1542734696362,638
1542734697367,638
1542734698364,637
1542734699369,637
1542734700369,637
1542734701369,637
1542734702368,637
1542734703375,637
1542734704372,637
1542734705374,637
1542734706371,637
1542734707377,637
1542734708378,637
1542734709378,637
1542734710380,636
1542734711380,636
1542734712379,636
1542734713382,636
1542734714387,636
1542734715385,636
1542734716384,636
1542734717386,636
1542734718393,636
1542734719392,636
1542734720398,636
1542734721391,636
1542734722397,636
1542734723391,636
1542734724391,636
1542734725396,636
1542734726401,636
1542734727397,636
1542734728401,638
1542734729398,640
1542734730402,643
1542734731400,644
1542734732403,646
1542734733402,645
1542734734405,645
1542734735404,645
1542734736408,645
1542734737406,645
1542734738410,645
1542734739412,645
1542734740416,645
1542734741409,645
1542734742415,645
1542734743416,645
1542734744418,645
1542734745418,643
1542734746418,645
1542734747418,645
1542734748421,645
1542734749420,645
1542734750452,645
1542734751421,645
1542734752425,644
1542734753423,645
1542734754426,645
1542734755440,645
1542734756436,644
1542734757426,644
1542734758430,644
1542734759435,644
1542734760434,645
1542734761432,644
1542734762435,644
1542734763434,644
1542734764437,644
1542734765436,644
1542734766439,644
1542734767451,644
1542734768440,643
1542734769446,644
1542734770444,644
1542734771449,644
1542734772450,644
1542734773450,643
1542734774448,643
1542734775451,643
1542734776452,643
1542734777456,643
1542734778453,643
1542734779456,643
1542734780455,643
1542734781460,643
1542734782459,643
1542734783461,643
1542734784470,643
1542734785464,643
1542734786466,642
1542734787465,643
1542734788466,642
1542734789467,642
1542734790474,642
1542734791470,642
1542734792477,642
1542734793473,642
1542734794477,642
1542734795476,642
1542734796480,642
1542734797476,641
1542734798481,642
1542734799479,642
1542734800488,642
1542734801481,641
1542734802500,641
1542734803493,641
1542734804490,641
1542734805486,641
1542734806489,641
1542734807487,641
1542734808491,641
1542734809489,641
1542734810494,641
1542734811500,641
1542734812495,641
1542734813503,640
1542734814499,640
